"playerID","yearID","Batting_Games","Batting_At_Bats","Batting_Doubles","Batting_Triples","Batting_Homeruns","Batting_Runs_Batted_In","Batting_Stolen_Bases","Batting_Caught_Steading","Batting_Base_on_Balls","Batting_Strikeouts","Batting_Intentional_walks","Batting_Hit_by_pitch","Batting_Sacrifice_hits","Batting_Sacrifice_flies","Batting_Grounded_into_double_plays","Pitching_Wins","Pitching_Losses","Pitching_Games","Pitching_Games_Started","Pitching_Complete_Games","Pitching_Shutouts","Pitching_Saves","Pitching_Outs_Pitched","Pitching_Hits","inducted"
"medwijo01",1966,1984,7635,540,113,205,1383,42,0,437,551,0,26,44,0,203,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
"medwijo01",1967,1984,7635,540,113,205,1383,42,0,437,551,0,26,44,0,203,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
"medwijo01",1967,1984,7635,540,113,205,1383,42,0,437,551,0,26,44,0,203,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
"medwijo01",1968,1984,7635,540,113,205,1383,42,0,437,551,0,26,44,0,203,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Y"
"meltobi01",1983,1144,3971,162,9,160,591,23,24,479,669,29,44,20,43,94,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
"mendejo99",2006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Y"
"menkede01",1980,1598,5071,225,40,101,606,34,54,698,853,73,46,54,65,99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
"mesajo01",2013,1023,2,0,0,0,0,0,0,1,1,0,0,1,0,0,80,109,1022,95,6,2,321,4646,1629,"N"
"messean01",1985,353,729,30,0,5,54,1,0,46,212,0,1,46,4,6,130,99,344,295,98,27,15,6691,1719,"N"
"messean01",1986,353,729,30,0,5,54,1,0,46,212,0,1,46,4,6,130,99,344,295,98,27,15,6691,1719,"N"
"meusebo01",1937,1407,5475,368,95,156,1068,142,102,375,619,0,21,157,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
"meusebo01",1938,1407,5475,368,95,156,1068,142,102,375,619,0,21,157,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
"meusebo01",1945,1407,5475,368,95,156,1068,142,102,375,619,0,21,157,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
"meusebo01",1948,1407,5475,368,95,156,1068,142,102,375,619,0,21,157,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
"meusebo01",1949,1407,5475,368,95,156,1068,142,102,375,619,0,21,157,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
"meusebo01",1950,1407,5475,368,95,156,1068,142,102,375,619,0,21,157,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
"meusebo01",1952,1407,5475,368,95,156,1068,142,102,375,619,0,21,157,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
"meusebo01",1955,1407,5475,368,95,156,1068,142,102,375,619,0,21,157,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
"meusebo01",1956,1407,5475,368,95,156,1068,142,102,375,619,0,21,157,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
"meusebo01",1958,1407,5475,368,95,156,1068,142,102,375,619,0,21,157,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
"meusebo01",1960,1407,5475,368,95,156,1068,142,102,375,619,0,21,157,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
"miksied01",1964,1042,3053,95,17,44,228,52,22,215,313,6,6,62,2,74,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
"milancl01",1938,1982,7359,240,105,17,617,495,78,685,197,0,80,188,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
"milancl01",1950,1982,7359,240,105,17,617,495,78,685,197,0,80,188,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
"milancl01",1951,1982,7359,240,105,17,617,495,78,685,197,0,80,188,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
"milancl01",1952,1982,7359,240,105,17,617,495,78,685,197,0,80,188,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
"milancl01",1953,1982,7359,240,105,17,617,495,78,685,197,0,80,188,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
"milancl01",1954,1982,7359,240,105,17,617,495,78,685,197,0,80,188,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
"milancl01",1955,1982,7359,240,105,17,617,495,78,685,197,0,80,188,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
"millafe01",1983,1480,5791,229,38,22,403,67,43,318,242,40,63,121,32,146,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
"millebi02",1958,1820,6212,389,96,116,992,127,82,383,340,0,80,210,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
"millebi02",1960,1820,6212,389,96,116,992,127,82,383,340,0,80,210,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
"millebo04",1980,707,299,1,2,0,8,0,0,14,125,0,1,24,1,5,69,81,694,99,7,0,51,4654,1487,"N"
"milledo02",1948,1589,5805,232,108,32,715,177,30,391,454,0,45,235,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
"milleha01",1937,349,1200,65,11,38,205,10,9,64,103,0,8,17,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
"milleno01",1980,540,1364,68,10,24,159,16,10,160,265,15,15,12,10,33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
"milnejo01",1988,1215,3436,140,16,131,498,31,22,504,473,45,10,7,28,87,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
"minosmi01",1969,1830,6569,336,83,186,1023,205,130,814,582,23,192,68,57,185,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
"minosmi01",1986,1835,6579,336,83,186,1023,205,130,814,584,23,192,68,57,185,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
"minosmi01",1987,1835,6579,336,83,186,1023,205,130,814,584,23,192,68,57,185,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
"minosmi01",1988,1835,6579,336,83,186,1023,205,130,814,584,23,192,68,57,185,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N"
